"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl27a",8.33061224255549e-17,0.43188229927907,0.996,0.942,1.3398123669702e-12,"0","Rpl27a"
"Rps16",9.43291622142107e-17,0.386340594241042,0.999,0.96,1.51709591589115e-12,"0","Rps16"
"Rpl23",3.84338027846656e-16,0.368198742660309,0.995,0.934,6.18130850185777e-12,"0","Rpl23"
"Rpl9",4.10747932406847e-16,0.443905547809715,0.994,0.935,6.60605899689931e-12,"0","Rpl9"
"H2-Oa",5.0243384021023e-16,1.14413625051805,0.408,0.085,8.08064345210113e-12,"0","H2-Oa"
"Rpl35",5.32716984040747e-16,0.440973601819435,0.986,0.876,8.56768725432734e-12,"0","Rpl35"
"Mzb1",1.54342160261277e-15,1.12164601779653,0.415,0.083,2.48228496348212e-11,"0","Mzb1"
"Rplp2",1.79230234992952e-15,0.349247602377253,0.998,0.942,2.88255986939165e-11,"0","Rplp2"
"Rpl35a",2.31118907574472e-15,0.366868460613914,0.999,0.942,3.71708539052024e-11,"0","Rpl35a"
"Rps4x",3.77384568724587e-15,0.434409461923126,0.997,0.907,6.06947601879754e-11,"0","Rps4x"
"Rpl6",4.82390313040126e-15,0.411008412442,0.993,0.914,7.75828340462435e-11,"0","Rpl6"
"Btg1",1.26315890126396e-14,0.54267466836371,0.859,0.725,2.03153846090283e-10,"0","Btg1"
"Ralgps2",1.81574210022488e-14,1.1241264479731,0.399,0.09,2.92025801979167e-10,"0","Ralgps2"
"Rpl32",2.08330589209542e-14,0.362920709375952,0.998,0.92,3.35058086625707e-10,"0","Rpl32"
"H2-DMa",3.36988506261751e-14,0.991180645087731,0.558,0.265,5.41978614620775e-10,"0","H2-DMa"
"Rps3",4.46707992042201e-14,0.382969340126641,0.992,0.912,7.18440463601472e-10,"0","Rps3"
"Rps28",5.78493901298859e-14,0.322695248685337,0.994,0.892,9.30391741458955e-10,"0","Rps28"
"Ly6e",8.45177894587346e-14,0.569739960665524,0.914,0.702,1.35929960786483e-09,"0","Ly6e"
"Rpl21",9.15438987154797e-14,0.424246558885561,0.998,0.926,1.47230052304106e-09,"0","Rpl21"
"Rps23",1.19878872089873e-13,0.290314867997436,0.999,0.956,1.92801189982142e-09,"0","Rps23"
"H3f3a",1.33782195534682e-13,0.575241596598192,0.967,0.895,2.15161905078428e-09,"0","H3f3a"
